,Species,Superordinal_Group,Group,Order,Family,Genus,Media,Body_Mass,Humerus_Length,Humerus_Prox_Width,Humerus_MidS_Width,Humerus_Distal_Width,Humerus_Height,Radius_Length,Radius_Prox_Width,Radius_MidS_Width,Radius_Distal_Width,Radius_Height,Metacarpus_Length,Metacarpus_Prox_Width,Metacarpus_MidS_Width,Metacarpus_Distal_Width,Metacarpus_Height,Phalanx_Length,Phalanx_Prox_Width,Phalanx_MidS_Width,Phalanx_Distal_Width,Phalanx_Height,Digit_Length,major_clade
Peromyscus_truei,Peromyscus_truei,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Peromyscus,terrestrial,27,12.785,2.307,1.071,3.359,1.307,14.569,1.322,0.8,1.16,0.589,3.429,0.708,0.414,0.695,0.395,2.198,0.731,0.402,0.507,0.372,5.034,others
Habromys_lepturus,Habromys_lepturus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Habromys,terrestrial,84.99,16.649,2.782,1.371,4.353,1.78,17.35,1.645,1.055,1.591,0.752,4.792,0.887,0.516,0.886,0.602,2.921,1.014,0.589,0.643,0.511,6.531,others
Neotomodon_alstoni,Neotomodon_alstoni,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Neotomodon,terrestrial,44.64,14.754,2.704,1.415,4.096,1.815,16.537,1.614,0.923,1.338,0.761,4.36,0.868,0.559,0.862,0.618,2.419,0.952,0.532,0.668,0.52,5.822,others
Podomys_floridanus,Podomys_floridanus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Podomys,terrestrial,30.74,13.562,2.384,1.079,3.298,1.226,14.132,1.37,0.778,1.153,0.595,3.714,0.765,0.445,0.77,0.567,2.209,0.801,0.457,0.508,0.492,4.959,others
Megadontomys_thomasi,Megadontomys_thomasi,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Megadontomys,terrestrial,110.52,19.431,3.244,1.691,5.198,1.886,20.649,2.108,0.982,1.868,1.078,6.077,0.966,0.606,1.036,0.67,3.501,1.189,0.682,0.793,0.585,7.487,others
Scotinomys_teguina,Scotinomys_teguina,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Scotinomys,terrestrial,11.59,9.753,1.862,0.912,2.852,0.969,10.237,1.048,0.535,0.927,0.462,2.971,0.595,0.398,0.701,0.375,1.984,0.727,0.366,0.485,0.366,4.533,others
Baiomys_taylori,Baiomys_taylori,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Baiomys,terrestrial,7.43,8.015,1.478,0.696,2.255,0.921,8.247,0.882,0.556,0.853,0.433,2.26,0.411,0.343,0.501,0.353,1.464,0.607,0.33,0.399,0.31,3.589,others
Ototylomys_phyllotis,Ototylomys_phyllotis,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Ototylomys,terrestrial,86.94,21.521,3.35,1.897,4.68,2.343,18.732,1.899,1.025,1.804,1.081,4.884,0.901,0.717,1.129,0.587,3.209,1.147,0.673,0.815,0.56,6.546,others
Nyctomys_sumichrasti,Nyctomys_sumichrasti,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Nyctomys,terrestrial,59.99,16.289,2.966,1.724,4.549,2.101,16.694,1.903,1.369,1.556,0.86,4.136,0.897,0.603,0.918,0.604,3.329,0.93,0.524,0.623,0.525,7.008,others
Sigmodon_hispidus,Sigmodon_hispidus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Sigmodon,terrestrial,110.65,23.071,3.739,1.859,5.184,3.588,21.506,2.076,1.271,1.721,1.096,5.132,1.04,0.774,1.166,0.676,3.007,1.23,0.703,0.77,0.663,7.682,others
Neusticomys_oyapocki,Neusticomys_oyapocki,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Neusticomys,semi-aquatic,47,14.072,2.972,1.303,4.094,2.776,10.917,1.825,0.945,1.643,0.813,4.568,0.953,0.722,0.94,0.718,2.889,1.018,0.621,0.664,0.682,6.172,others
Chinchillula_sahamae,Chinchillula_sahamae,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Chinchillula,terrestrial,169.74,22.629,4.395,2.269,5.542,3.139,22.919,2.696,1.624,2.233,1.141,5.727,1.275,0.822,1.36,0.869,3.425,1.494,0.754,0.928,0.771,8.224,others
Reithrodon_auritus,Reithrodon_auritus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Reithrodon,terrestrial,79.73,17.734,3.179,1.326,3.544,1.614,19.464,1.829,0.891,1.449,0.818,3.803,0.835,0.552,0.843,0.57,2.04,0.879,0.452,0.622,0.557,4.914,others
Oxymycterus_rufus,Oxymycterus_rufus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Oxymycterus,terrestrial,82.01,16.257,3.479,1.658,5.107,2.202,16.137,2.213,0.971,1.636,1.395,4.7,1.087,0.738,1.12,0.961,2.287,1.2,0.879,0.88,0.791,7.172,others
Thalpomys_lasiotis,Thalpomys_lasiotis,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Thalpomys,terrestrial,23.99,10.979,2.148,0.86,2.525,1.074,11.773,1.162,0.663,1.108,0.428,2.768,0.619,0.409,0.585,0.331,1.529,0.685,0.358,0.447,0.363,3.968,others
Necromys_lasiurus,Necromys_lasiurus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Necromys,terrestrial,39.93,14.676,2.83,1.24,3.783,1.954,15.033,1.539,0.839,1.168,0.692,3.861,0.757,0.523,0.771,0.486,2.065,0.785,0.53,0.565,0.453,5.389,others
Akodon_boliviensis,Akodon_boliviensis,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Akodon,terrestrial,27.5,11.331,2.155,0.969,2.886,1.267,12.173,1.297,0.593,1.072,0.528,2.928,0.623,0.398,0.67,0.411,1.771,0.719,0.389,0.532,0.36,4.466,others
Thaptomys_nigrita,Thaptomys_nigrita,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Thaptomys,terrestrial,19.9,11.546,2.468,1.04,3.586,1.358,11.293,1.401,0.751,1.019,0.58,3.483,0.789,0.453,0.766,0.525,2.19,0.873,0.485,0.59,0.434,5.565,others
Lenoxus_apicalis,Lenoxus_apicalis,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Lenoxus,terrestrial,53.6,17.822,3.915,1.677,4.888,1.844,18.223,1.808,1.107,1.94,0.969,5.101,1.061,0.742,1.071,0.678,3.072,1.306,0.769,0.839,0.702,7.283,others
Scapteromys_tumidus,Scapteromys_tumidus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Scapteromys,semi-aquatic,146,18.613,3.766,1.648,5.96,2.276,18.585,2.303,1.167,2.047,1.036,5.422,1.374,0.86,1.241,0.973,3.008,1.346,0.839,0.95,0.897,8.319,others
Thomasomys_aureus,Thomasomys_aureus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Thomasomys,terrestrial,87.99,18.879,3.447,1.873,5.173,1.851,21.387,2.182,1.189,1.897,1.004,5.181,1.026,0.708,1.157,0.716,3.695,1.28,0.63,0.837,0.605,7.711,others
Chilomys_instans,Chilomys_instans,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Chilomys,terrestrial,19,10.986,2.116,1.002,3.059,1.182,11.687,1.245,0.738,0.99,0.55,3.325,0.599,0.443,0.665,0.464,2.484,0.78,0.441,0.534,0.406,5.637,others
Rhipidomys_fulviventer,Rhipidomys_fulviventer,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Rhipidomys,terrestrial,89,14.109,2.851,1.267,4.006,1.429,15.174,1.647,1.03,1.417,0.711,4.215,0.757,0.489,0.876,0.487,3.072,0.958,0.469,0.599,0.44,6.356,others
Andinomys_edax,Andinomys_edax,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Andinomys,terrestrial,69.75,16.596,3.174,1.553,4.173,1.869,17.627,2.01,1.032,1.671,0.806,5.145,0.909,0.676,0.973,0.695,3.067,1.13,0.631,0.709,0.622,6.892,others
Geoxus_valdivianus,Geoxus_valdivianus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Geoxus,terrestrial,30.8,12.426,3.708,1.604,5.465,2.184,11.988,2.122,1.15,1.984,0.958,3.617,1.176,0.884,1.258,0.968,2.184,1.51,1.013,1.107,0.84,8.504,others
Abrothrix_longipilis,Abrothrix_longipilis,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Abrothrix,terrestrial,38.86,12.485,2.794,1.139,3.866,1.583,13.47,1.595,0.77,1.416,0.601,3.749,0.817,0.549,0.809,0.557,2.225,0.911,0.503,0.602,0.489,5.738,others
Graomys_griseoflavus,Graomys_griseoflavus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Graomys,terrestrial,68.32,15.989,2.765,1.381,3.589,1.625,15.789,1.796,0.975,1.316,0.738,4.234,0.762,0.553,0.807,0.565,2.516,0.909,0.527,0.63,0.485,5.656,others
Eligmodontia_typus,Eligmodontia_typus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Eligmodontia,terrestrial,17.37,9.723,1.692,0.755,2.284,0.932,11.78,1.029,0.579,1.032,0.479,2.707,0.463,0.335,0.563,0.338,1.677,0.657,0.337,0.454,0.314,4.146,others
Andalgalomys_pearsoni,Andalgalomys_pearsoni,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Andalgalomys,terrestrial,25.4,14.836,2.569,1.252,3.202,1.841,15.2,1.588,0.871,1.282,0.757,2.999,0.611,0.386,0.684,0.444,1.84,0.757,0.406,0.505,0.392,4.141,others
Loxodontomys_micropus,Loxodontomys_micropus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Loxodontomys,terrestrial,70.76,17.212,3.232,1.505,3.911,1.67,17.759,1.783,0.869,1.579,0.805,4.323,0.915,0.58,0.852,0.573,2.645,1.049,0.534,0.63,0.5,6.28,others
Auliscomys_pictus,Auliscomys_pictus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Auliscomys,terrestrial,48.97,16.34,3.185,1.275,4.046,1.664,16.881,1.869,0.913,1.523,0.73,3.885,0.853,0.563,0.872,0.567,2.287,1.02,0.554,0.585,0.556,5.843,others
Phyllotis_sp,Phyllotis_sp,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Phyllotis,terrestrial,50.08,15.214,2.621,1.326,3.319,1.622,16.066,1.524,0.878,1.273,0.797,4.083,0.742,0.497,0.783,0.523,2.445,0.869,0.455,0.514,0.41,5.492,others
Calomys_laucha,Calomys_laucha,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Calomys,terrestrial,14,9.663,1.715,0.837,2.206,1.254,10.175,0.976,0.604,0.816,0.476,2.545,0.513,0.312,0.505,0.319,1.432,0.479,0.304,0.357,0.292,3.283,others
Neacomys_sp,Neacomys_sp,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Neacomys,terrestrial,15.87,12.164,1.935,1.189,2.876,1.361,12.314,1.345,0.798,1.267,0.894,3.804,0.65,0.487,0.744,0.506,2.729,0.764,0.488,0.621,0.51,5.944,others
Microryzomys_minutus,Microryzomys_minutus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Microryzomys,terrestrial,13.49,10.773,2.266,1.179,3.096,1.269,12.041,1.291,0.758,1.305,0.755,3.298,0.574,0.451,0.661,0.582,2.677,0.782,0.501,0.525,0.479,5.735,others
Oligoryzomys_fulvescens,Oligoryzomys_fulvescens,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Oligoryzomys,terrestrial,25,8.702,1.586,0.824,2.4,0.937,9.542,1.084,0.622,0.846,0.488,3.086,0.5,0.385,0.544,0.358,2.254,0.597,0.326,0.471,0.332,4.906,others
Melanomys_caliginosus,Melanomys_caliginosus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Melanomys,terrestrial,41,16.063,2.83,1.358,4.227,1.875,14.01,1.865,0.938,1.56,0.908,4.31,0.915,0.609,0.958,0.561,3.015,1.041,0.583,0.66,0.553,6.573,others
Oryzomys_palustris,Oryzomys_palustris,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Oryzomys,semi-aquatic,53.26,15.351,2.652,1.323,4.184,1.514,15.815,1.882,0.968,1.489,0.723,4.579,0.883,0.561,0.916,0.603,3.198,0.898,0.524,0.623,0.495,7.009,others
Nectomys_squamipes,Nectomys_squamipes,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Nectomys,semi-aquatic,184.98,27.362,4.384,2.413,6.642,3.394,26.414,2.881,1.529,2.372,1.682,7.067,1.361,1.033,1.602,0.949,4.803,1.515,0.927,1.086,0.903,11.179,others
Pseudoryzomys_simplex,Pseudoryzomys_simplex,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Pseudoryzomys,terrestrial,45.2,15.324,2.423,1.164,3.556,1.652,15.609,1.512,0.823,1.279,0.798,4.083,0.687,0.48,0.779,0.57,2.582,0.825,0.482,0.546,0.468,5.65,others
Handleyomys_alfaroi,Handleyomys_alfaroi,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Handleyomys,terrestrial,33.3,9.44,2.661,1.265,3.943,1.376,8.5,1.168,0.702,1.126,0.6,3.207,0.611,0.491,0.772,0.582,1.822,0.928,0.487,0.612,0.511,4.903,others
Oecomys_rutilus,Oecomys_rutilus,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Oecomys,terrestrial,73.4,11.785,2.121,1.021,3.224,1.261,12.198,1.416,0.743,1.165,0.658,3.564,0.695,0.47,0.809,0.445,2.727,0.778,0.462,0.531,0.386,5.815,others
Euryoryzomys_macconnelli,Euryoryzomys_macconnelli,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Euryoryzomys,terrestrial,66.49,15.632,2.898,1.337,3.673,1.86,15.878,1.616,0.91,1.573,0.738,4.063,0.832,0.66,0.787,0.519,2.522,0.986,0.501,0.609,0.549,5.923,others
Transandinomys_bolivaris,Transandinomys_bolivaris,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Transandinomys,terrestrial,60.5,16.141,3.059,1.491,3.544,1.907,16.803,1.731,1.191,1.633,1.063,4.518,0.807,0.664,0.949,0.632,2.931,1.011,0.558,0.717,0.585,6.106,others
Zygodontomys_brevicauda,Zygodontomys_brevicauda,Euarchontoglires,Rodentia,Rodentia,Cricetidae,Zygodontomys,terrestrial,52.22,14.63,2.575,1.456,3.783,1.808,13.8,1.776,1.126,1.387,0.923,3.8,0.791,0.665,0.86,0.587,2.49,0.886,0.508,0.61,0.478,5.807,others
Cricetomys_gambianus,Cricetomys_gambianus,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Cricetomys,terrestrial,1267.52,48.127,8.961,4.348,13.085,8.402,44.044,5.135,2.823,5.098,3.412,12.221,2.463,1.731,2.55,1.639,6.207,3.149,2.019,2.044,1.394,14.065,others
Steatomys_pratensis,Steatomys_pratensis,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Steatomys,terrestrial,30.58,9.754,2.025,0.707,2.894,1.06,10.169,1.111,0.555,1.16,0.573,2.769,0.657,0.459,0.696,0.392,1.792,0.76,0.405,0.509,0.392,5.141,others
Malacothrix_typica,Malacothrix_typica,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Malacothrix,terrestrial,17.02,12.752,2.289,1.187,2.95,1.27,16.173,1.211,0.868,1.516,0.842,2.428,0.694,0.435,0.591,0.414,1.555,0.662,0.356,0.481,0.369,3.876,others
Saccostomus_campestris,Saccostomus_campestris,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Saccostomus,terrestrial,50.33,16.916,2.845,1.675,4.416,2.463,18.176,1.637,0.994,1.624,0.974,4.079,0.902,0.696,0.908,0.701,2.341,1.161,0.668,0.758,0.542,5.317,others
Brachytarsomys_albicauda,Brachytarsomys_albicauda,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Brachytarsomys,terrestrial,200,25.773,5.127,2.746,7.644,3.867,24.21,3.182,2.309,2.783,1.465,5.951,1.1,0.987,1.479,0.948,4.796,1.675,0.916,1.314,0.877,10.246,others
Gymnuromys_roberti,Gymnuromys_roberti,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Gymnuromys,terrestrial,97.5,24.079,4.615,1.896,6.106,3.009,23.437,2.508,1.402,2.588,1.076,6.323,1.271,0.896,1.516,0.84,4.258,1.636,1.031,1.232,0.717,9.148,others
Macrotarsomys_bastardi,Macrotarsomys_bastardi,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Macrotarsomys,terrestrial,28.45,13.269,2.044,0.919,2.92,1.291,13.91,1.298,0.692,1.044,0.591,3.48,0.591,0.435,0.664,0.46,2.251,0.788,0.408,0.478,0.431,5.243,others
Monticolomys_koopmani,Monticolomys_koopmani,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Monticolomys,terrestrial,25,13.022,2.539,1.122,3.361,1.34,13.675,1.342,0.759,1.351,0.859,3.635,0.721,0.501,0.743,0.448,2.339,0.791,0.448,0.481,0.432,5.418,others
Nesomys_rufus,Nesomys_rufus,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Nesomys,terrestrial,163.96,25.599,4.122,1.823,5.437,2.396,25.814,2.405,1.237,2.498,1.119,7.984,1.196,0.798,1.352,0.867,4.097,1.458,0.791,0.979,0.805,9.497,others
Hypogeomys_antimena,Hypogeomys_antimena,Euarchontoglires,Rodentia,Rodentia,Nesomyidae,Hypogeomys,terrestrial,1175.93,45.044,8.373,3.368,11.005,5.423,42.688,4.451,2.206,4.828,2.376,11.808,2.554,1.72,2.579,1.539,5.835,2.809,1.618,1.77,1.311,NA,others
Calomyscus_baluchi,Calomyscus_baluchi,Euarchontoglires,Rodentia,Rodentia,Calomyscidae,Calomyscus,terrestrial,21.38,11.889,2.291,1.038,3.101,1.214,12.297,1.314,0.732,1.295,0.605,3.042,0.627,0.414,0.656,0.472,2.085,0.809,0.4,0.508,0.443,4.596,others
Calomyscus_bailwardi,Calomyscus_bailwardi,Euarchontoglires,Rodentia,Rodentia,Calomyscidae,Calomyscus,terrestrial,21.38,13.153,2.632,1.176,3.387,1.419,12.967,1.267,0.795,1.24,0.615,3.383,0.53,0.454,0.646,0.478,2.127,0.75,0.397,0.456,0.428,4.681,others
Typhlomys_chapensis,Typhlomys_chapensis,Euarchontoglires,Rodentia,Rodentia,Platacanthomyidae,Typhlomys,terrestrial,16.93,12.793,2.465,1.058,3.525,1.226,14.578,1.388,0.811,1.477,0.541,3.794,0.588,0.377,0.714,0.372,2.659,0.83,0.399,0.525,0.324,5.541,others
Sicista_concolor,Sicista_concolor,Euarchontoglires,Rodentia,Rodentia,Sminthidae,Sicista,terrestrial,10,8.235,1.905,0.935,2.412,0.961,9.531,0.911,0.636,0.933,0.607,2.825,0.472,0.313,0.555,0.383,2.063,0.603,0.34,0.397,0.302,4.053,others
Salpingotus_crassicauda,Salpingotus_crassicauda,Euarchontoglires,Rodentia,Rodentia,Dipodidae,Salpingotus,terrestrial,9.5,6.598,2.093,0.845,2.31,0.911,10.238,1.34,0.624,1.085,0.551,2.047,0.41,0.381,0.604,0.474,1.332,0.561,0.367,0.505,0.412,4.375,others
Euchoreutes_naso,Euchoreutes_naso,Euarchontoglires,Rodentia,Rodentia,Dipodidae,Euchoreutes,terrestrial,30.7,10.384,2.668,1.074,2.959,1.389,12.681,1.533,0.892,1.237,0.832,2.743,0.652,0.56,0.635,0.525,1.923,0.791,0.574,0.539,0.535,4.511,others
Dipus_sagitta,Dipus_sagitta,Euarchontoglires,Rodentia,Rodentia,Dipodidae,Dipus,terrestrial,89,13.37,3.468,1.393,4.314,1.65,16.812,2.019,1.092,1.764,0.976,3.707,0.811,0.788,0.948,0.88,2.76,1.194,0.701,0.805,0.81,6.601,others
Jaculus_jaculus,Jaculus_jaculus,Euarchontoglires,Rodentia,Rodentia,Dipodidae,Jaculus,terrestrial,59.8,11.83,3.038,1.32,3.995,1.699,15.364,1.823,1.042,1.374,0.904,3.085,0.662,0.63,0.86,0.745,2.141,0.917,0.687,0.758,0.764,6.807,others
Stylodipus_andrewsi,Stylodipus_andrewsi,Euarchontoglires,Rodentia,Rodentia,Dipodidae,Stylodipus,terrestrial,75.32,12.202,3.519,1.324,4.039,1.469,14.999,1.933,0.979,1.512,0.818,3.186,0.842,0.777,0.859,0.731,2.053,1.072,0.826,0.771,0.77,6.477,others
Pygeretmus_pumilio,Pygeretmus_pumilio,Euarchontoglires,Rodentia,Rodentia,Dipodidae,Pygeretmus,terrestrial,52.24,11.751,3.095,1.207,3.475,1.527,14.511,1.749,0.912,1.415,0.731,3.156,0.585,0.5,0.751,0.6,1.98,0.879,0.598,0.635,0.538,5.269,others
Allactaga_elater,Allactaga_elater,Euarchontoglires,Rodentia,Rodentia,Dipodidae,Allactaga,terrestrial,59,10.941,2.794,1.163,3.121,1.379,14.007,1.689,0.941,1.374,0.997,2.588,0.661,0.539,0.748,0.599,2.058,0.846,0.605,0.554,0.66,5.394,others
Zapus_hudsonius,Zapus_hudsonius,Euarchontoglires,Rodentia,Rodentia,Zapodidae,Zapus,terrestrial,18.43,10.702,1.969,0.828,2.58,1.106,10.966,1.285,0.661,0.959,0.48,3.522,0.668,0.418,0.671,0.413,2.441,0.797,0.42,0.535,0.349,5.601,others
Napaeozapus_insignis,Napaeozapus_insignis,Euarchontoglires,Rodentia,Rodentia,Zapodidae,Napaeozapus,terrestrial,22.25,11.293,2.346,0.994,2.782,1.158,12.064,1.472,0.627,1.074,0.549,4.302,0.79,0.451,0.68,0.444,2.767,0.869,0.432,0.578,0.398,6,others
Microdipodops_megacephalus,Microdipodops_megacephalus,Euarchontoglires,Rodentia,Rodentia,Heteromyidae,Microdipodops,terrestrial,12.3,8.737,2.31,0.869,2.822,1.045,12.094,1.194,0.6,1.134,0.54,2.657,0.528,0.439,0.573,0.45,1.346,0.731,0.376,0.481,0.425,4.808,others
Dipodomys_deserti,Dipodomys_deserti,Euarchontoglires,Rodentia,Rodentia,Heteromyidae,Dipodomys,terrestrial,107.63,15.581,2.994,1.136,4.868,1.778,20.548,1.693,0.999,1.495,1.113,3.467,0.782,0.734,0.852,0.661,2.116,1.121,0.724,0.746,0.619,7.614,others
Dipodomys_merriami,Dipodomys_merriami,Euarchontoglires,Rodentia,Rodentia,Heteromyidae,Dipodomys,terrestrial,37.91,12.239,2.822,0.999,3.669,1.311,16.757,1.36,0.747,1.275,0.732,2.738,0.563,0.484,0.636,0.514,1.486,0.779,0.459,0.704,0.54,5.402,others
Thomomys_mazama,Thomomys_mazama,Euarchontoglires,Rodentia,Rodentia,Geomyidae,Thomomys,terrestrial,93.07,17.56,4.644,1.647,6.92,2.596,16.546,2.737,1.319,2.444,1.479,5.086,1.441,0.897,1.949,1.154,2.078,1.836,1.337,1.346,0.979,11.127,others
Geomys_pinetis,Geomys_pinetis,Euarchontoglires,Rodentia,Rodentia,Geomyidae,Geomys,terrestrial,201.15,18.727,3.879,1.726,5.059,2.436,18.441,1.912,1.002,1.875,1.11,4.512,1.123,0.73,1.153,0.802,2.145,1.342,0.767,0.869,0.836,7.333,others
Cratogeomys_castanops,Cratogeomys_castanops,Euarchontoglires,Rodentia,Rodentia,Geomyidae,Cratogeomys,terrestrial,266.83,26.46,6.587,2.86,9.912,6.597,26.677,4.051,1.942,3.868,2.619,6.871,2.269,1.783,2.787,1.699,2.806,2.807,1.904,2.152,1.813,15.63,others
Heteromys_nelsoni,Heteromys_nelsoni,Euarchontoglires,Rodentia,Rodentia,Heteromyidae,Heteromys,terrestrial,67.55,18.265,3.438,1.426,4.73,1.769,17.119,2.133,1.021,1.934,0.785,5.716,0.87,0.681,1.026,0.733,3.487,1.244,0.711,0.87,0.617,7.728,others
Perognathus_fasciatus,Perognathus_fasciatus,Euarchontoglires,Rodentia,Rodentia,Heteromyidae,Perognathus,terrestrial,11.29,9.337,1.887,0.803,2.528,1.082,9.705,1.096,0.502,0.951,0.586,2.361,0.541,0.375,0.596,0.395,1.406,0.709,0.361,0.444,0.344,4.072,others
Chaetodipus_penicillatus,Chaetodipus_penicillatus,Euarchontoglires,Rodentia,Rodentia,Heteromyidae,Chaetodipus,terrestrial,15.57,11.165,2.192,0.906,2.574,1.123,10.763,1.216,0.652,1.25,0.555,3.134,0.45,0.495,0.619,0.438,1.626,0.776,0.416,0.522,0.391,4.541,others
Castor_fiber,Castor_fiber,Euarchontoglires,Rodentia,Rodentia,Castoridae,Castor,semi-aquatic,19000,82.055,22.2,9.795,29.325,14.825,91.135,12.07,6.905,12.05,4.535,21.495,6.674,4.06,7.115,3.42,11.04,7.215,4.75,5.455,3.52,33.815,others
Castor_canadensis,Castor_canadensis,Euarchontoglires,Rodentia,Rodentia,Castoridae,Castor,semi-aquatic,18124.41,53.355,18.02,7.165,22.11,11.695,57.13,8.9,3.665,9.425,4.325,16.28,4.445,3.34,5.24,2.86,8.695,5.82,3.985,3.7,3.43,24.43,others
Ochotona_alpina,Ochotona_alpina,Euarchontoglires,Lagomorpha,Lagomorpha,Ochotonidae,Ochotona,terrestrial,150,25.958,6.117,1.829,5.164,2.64,20.499,3.243,1.631,2.497,0.82,7.425,1.391,1.013,1.53,0.863,3.55,1.711,0.893,1.007,0.891,9.639,others
Pronolagus_rupestris,Pronolagus_rupestris,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Pronolagus,terrestrial,2249.99,57.093,8.56,3.974,8.285,5.16,47.189,5.773,3.035,5.286,1.955,17.777,2.934,1.955,2.785,1.878,7.381,2.86,1.838,1.911,1.567,NA,others
Nesolagus_netscheri,Nesolagus_netscheri,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Nesolagus,terrestrial,1511.67,58.345,9.565,3.945,7.765,4.065,54.135,6.875,2.835,5.095,1.91,17.785,2.445,2.1,2.875,1.925,7.565,2.685,1.74,2.39,1.67,18.885,others
Poelagus_marjorita,Poelagus_marjorita,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Poelagus,terrestrial,2509.7,69.675,13.385,4.875,9.74,6.7,62.215,6.87,4.205,6.77,3.23,21.25,4.385,2.52,3.57,2.585,7.685,3.14,2.285,2.66,2.48,20.265,others
Lepus_sp,Lepus_sp,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Lepus,terrestrial,2554.35,99.31,17.58,6.05,11.865,7.24,100.29,8.465,6.52,10.6,3.89,33.56,4.335,3,4.635,2.48,16.3,4.76,2.37,3.185,2.695,33.345,others
Sylvilagus_bachmani,Sylvilagus_bachmani,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Sylvilagus,terrestrial,714.53,47.863,7.283,3.501,6.918,4.529,45.046,5.054,2.891,5.259,2.174,15.011,2.19,1.582,2.508,1.562,6.949,2.434,1.262,1.656,1.396,15.014,others
Pentalagus_furnessi,Pentalagus_furnessi,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Pentalagus,terrestrial,2240,65.27,13.48,5.34,11.76,7.785,58.21,7.485,4.125,7.285,3.37,18.72,3.345,2.615,4.34,2.325,7.36,4.32,3.085,3.28,2.335,NA,others
Oryctolagus_cuniculus,Oryctolagus_cuniculus,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Oryctolagus,terrestrial,1590.57,64.495,12.3,4.145,9.225,5.045,57.175,5.7,3.755,6.185,2.42,18.81,2.47,2.125,3.16,1.99,9.165,3.15,1.835,2.42,2.065,22.071,others
Romerolagus_diazi,Romerolagus_diazi,Euarchontoglires,Lagomorpha,Lagomorpha,Leporidae,Romerolagus,terrestrial,465.58,41.745,8.54,3,6.36,4.435,36.75,4.175,2.375,4.31,1.595,12.395,1.99,1.43,2.125,1.1,4.2,2.11,1.37,1.61,1.17,11,others
Dasypus_sp,Dasypus_sp,Xenarthra,Cingulata,Cingulata,Dasypodidae,Dasypus,terrestrial,4149.37,42.48,11.433,5.828,15.189,5.802,28.809,5.768,3.542,7.093,3.931,14.732,6.675,4.465,5.348,4.174,5.037,5.095,4.989,5.08,3.364,22.266,others
